OBJECTID,MOID,MOTYPE,SELCODE,DSPCODE,UDFTYPE,LDMTYPE,ID,DESCRIPT,YR_INST,YR_RETIRE,ZONE,MATERIAL,LINING,COST_ID,PHASE,ID_1,LENGTH,DIAMETER,ROUGHNESS,MINORLOSS,TOTALIZER,CHK_VALVE,ID_12,DIRECTION,RUN_DIAM,RUN_LENGTH,RUN_ROUGH,FLOW,VELOCITY,HEADLOSS,HL1000,STATUS,MAX_FLOW,MIN_FLOW,AVE_FLOW,MAX_VELOC,MIN_VELOC,AVE_VELOC,MAX_HDLOSS,MIN_HDLOSS,AVE_HDLOSS,SHAPE_Length,Crtical_Xing
11,P807,0,,,,,P807,Ductile Iron,,,,,,,,P807,23.35630621,6,130,,0,0,P807,0,6,23.36,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.35630621,0
12,P809,0,,,,,P809,Ductile Iron,,,,,,,,P809,12.92421848,6,130,,0,0,P809,0,6,12.92,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.92421848,0
13,P811,0,,,,,P811,Ductile Iron,,,,,,,,P811,64.14472844,6,130,,0,0,P811,0,6,64.14,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.14472844,0
14,P813,0,,,,,P813,Ductile Iron,,,,,,,,P813,43.590494,6,130,,0,0,P813,0,6,43.59,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43.590494,0
15,P815,0,,,,,P815,Ductile Iron,,,,,,,,P815,6.064354938,6,130,,0,0,P815,0,6,6.06,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.064354938,0
16,P817,0,,,,,P817,Ductile Iron,,,,,,,,P817,36.33539881,6,130,,0,0,P817,0,6,36.34,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.33539881,0
17,P819,0,,,,,P819,Ductile Iron,,,,,,,,P819,94.0185402,6,130,,0,0,P819,0,6,94.02,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94.0185402,0
18,P821,0,,,,,P821,Ductile Iron,,,,,,,,P821,90.92198769,6,130,,0,0,P821,0,6,90.92,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90.92198769,0
19,P823,0,,,,,P823,Ductile Iron,,,,,,,,P823,28.53819591,6,130,,0,0,P823,0,6,28.54,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.53819591,0
20,P825,0,,,,,P825,Ductile Iron,,,,,,,,P825,49.04554674,6,130,,0,0,P825,0,6,49.05,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49.04554674,0
