InfluentScenarioID,InfluentFile,CycleIdx,CycleStartDay,Iter,AirReduc_,ReducDura,StartTime,ReductionDaysPattern,TankSelection,SOe,SIe,SSe,SNHe,SN2e,SNOe,SALKe,XIe,XSe,XBHe,XSTOe,XBAe,TSSe,Qe,COD,Failure,AE_orig_kWhd,AE_new_kWhd,SRT_d,COD_p95,SNHe_p95,EQI,EQI_new,IQI,IQI_new
1,influent_001.mat,1,150,21,0.588859148,4.5,15,Wknd,T3,0.000604257,29.89449951,16.44489152,33.65188622,2.801418959,0.007386736,7.478578281,16.70235695,2.012106873,23.75161903,6.807984351,0.058000531,39.54929609,18524.88802,95.67145877,1,8255.538168,4143.810943,13.72230816,159.6900788,37.90446874,17937.94857,24723.96605,62496.96369,72641.31348
1,influent_001.mat,1,150,21.5,0.588859148,4.5,15,Wknd,T3,3.52E-07,29.71188229,29.61205309,34.86549476,4.263614633,0.000164159,7.414383578,23.70690866,2.263733291,32.56915314,9.079494419,0.122068138,54.34777727,17230.42524,127.065293,1,6811.128,3519.12,14.01181688,278.9400841,39.31194786,19074.69337,25793.45511,62671.23873,72930.09399
1,influent_001.mat,1,150,22,0.322633918,3.25,15,MWF,T345,0.000279406,29.89449951,18.04751568,34.04356107,2.290311756,0.004368403,7.506770651,17.45085497,2.107145889,25.0894969,7.388494499,0.051680701,41.72865719,18524.88802,100.0296882,1,7745.310861,3904.428405,13.70335297,163.9639081,38.1865519,18384.18718,25272.07844,62496.96369,72641.31348
1,influent_001.mat,1,150,22.5,0.322633918,3.25,15,MWF,T345,3.64E-07,29.71188229,29.71186348,35.490737,3.645701594,0.000136799,7.459045692,23.58200807,2.257407518,32.52291613,9.061923323,0.103343342,54.18034921,17230.42524,126.9513442,1,6811.128,3519.12,14.01390844,278.1900999,39.95110426,19278.34723,26102.61527,62671.23873,72930.09399
1,influent_001.mat,1,150,23,0.536265629,4.5,10,TTh,T345,0.000410715,29.89449951,17.23220942,33.84585673,2.562769612,0.00583574,7.492544103,16.93084568,2.040866386,24.17878283,6.968498943,0.054749256,40.22006229,18524.88802,97.30045202,1,7572.137614,3853.494722,13.7181191,160.8234164,38.21811557,18114.9399,24946.21261,62496.96369,72641.31348
1,influent_001.mat,1,150,23.5,0.536265629,4.5,10,TTh,T345,3.57E-07,29.71188229,29.65886871,35.13516379,3.997511208,0.000152316,7.433646497,23.67244511,2.26167516,32.55062055,9.073268502,0.113972239,54.29268481,17230.42524,127.0427326,1,6811.128,3519.12,14.01250404,278.7142965,39.58540881,19164.1827,25928.67407,62671.23873,72930.09399
1,influent_001.mat,1,150,24,0.449065382,5,13,TTh,T35,0.000429035,29.89449951,17.16507549,33.81037141,2.603531537,0.006029902,7.489995568,16.88174872,2.034894302,24.10019835,6.928738689,0.055203167,40.08458685,18524.88802,97.06035824,1,7794.548383,3939.201846,13.71928437,160.7220557,38.03609509,18084.52933,24907.44461,62496.96369,72641.31348
1,influent_001.mat,1,150,24.5,0.449065382,5,13,TTh,T35,3.56E-07,29.71188229,29.65080007,35.09016072,4.042174585,0.000154323,7.430431849,23.67915545,2.262025274,32.5530949,9.074085864,0.115323776,54.30191388,17230.42524,127.0463676,1,6811.128,3519.12,14.0123859,278.753113,39.53925085,19149.22747,25906.08879,62671.23873,72930.09399
1,influent_001.mat,1,150,25,0.178648528,4.25,11,Wkdy,T34,0.000104528,29.89449951,19.1231208,34.29573259,1.937202124,0.002579963,7.524910648,18.25859403,2.209036109,26.53267423,8.036022033,0.047557939,44.09454477,18524.88802,104.1015046,1,7720.946388,3876.315907,13.67972308,169.8136871,38.39008605,18776.74504,25742.74173,62496.96369,72641.31348
1,influent_001.mat,1,150,25.5,0.178648528,4.25,11,Wkdy,T34,3.73E-07,29.71188229,29.7739369,35.96016832,3.182292291,0.000117121,7.492577906,23.45112926,2.251300579,32.48339912,9.045256704,0.089511806,54.01959624,17230.42524,126.8064167,1,6811.128,3519.12,14.01590493,277.4272383,40.40433573,19427.62336,26330.64928,62671.23873,72930.09399
1,influent_001.mat,1,150,26,0.154443061,2.5,8,Wknd,T3,0.000598894,29.89449951,16.50421544,33.65949242,2.784576394,0.007253731,7.479131081,16.78804795,2.022764992,23.88463327,6.873980241,0.058074072,39.78093446,18524.88802,96.02621548,1,8231.445932,4115.316347,13.71737016,159.7882209,38.2013748,17967.97509,24758.43002,62496.96369,72641.31348
1,influent_001.mat,1,150,26.5,0.154443061,2.5,8,Wknd,T3,3.52E-07,29.71188229,29.61366581,34.88730665,4.242171578,0.000163181,7.41594164,23.69400271,2.263168958,32.56565438,9.077798723,0.121400093,54.33290701,17230.42524,127.047573,1,6811.128,3519.12,14.01199834,278.8644775,39.334111,19080.905,25803.23044,62671.23873,72930.09399
1,influent_001.mat,1,150,27,0.295231127,4,15,TTh,T5,0.000563512,29.89449951,16.80950328,33.67295759,2.775923496,0.00718193,7.480098007,16.632967,2.003366673,23.65940061,6.744610636,0.057204526,39.36896127,18524.88802,95.80155224,1,8180.155322,4098.585439,13.72534428,160.2722437,37.88975716,17942.08453,24729.8289,62496.96369,72641.31348
1,influent_001.mat,1,150,27.5,0.295231127,4,15,TTh,T5,3.52E-07,29.71188229,29.61539572,34.87511357,4.255066871,0.000163963,7.41507065,23.72439101,2.264261452,32.56863174,9.080082389,0.121814444,54.36094035,17230.42524,127.086459,1,6811.128,3519.12,14.01164416,279.019439,39.3207804,19079.25657,25799.8494,62671.23873,72930.09399
1,influent_001.mat,1,150,28,0.565318803,0.75,15,Wknd,T34,0.000665885,29.89449951,16.20466692,33.56577483,2.910282444,0.008116246,7.47237536,16.52134203,1.988835349,23.44828554,6.658725693,0.059041663,39.03446294,18524.88802,94.7753967,1,8425.382396,4214.095108,13.72750648,158.5430072,37.83615291,17840.9621,24604.22805,62496.96369,72641.31348
1,influent_001.mat,1,150,28.5,0.565318803,0.75,15,Wknd,T34,3.50E-07,29.71188229,29.5871558,34.71755404,4.411038809,0.000171099,7.403815887,23.74784948,2.265549523,32.57889183,9.083610833,0.126588175,54.39514776,17230.42524,127.1015279,1,6811.128,3519.12,14.01121167,279.1636471,39.16126981,19027.0972,25720.99926,62671.23873,72930.09399
1,influent_001.mat,1,150,29,0.657614556,2.75,12,MWF,T3,0.000621876,29.89449951,16.30959195,33.61619513,2.849176316,0.007693864,7.476006979,16.59400062,1.99780002,23.57620248,6.707725279,0.058314284,39.23955074,18524.88802,95.13813415,1,8399.228714,4204.746694,13.72598404,158.938088,37.86116522,17885.9686,24661.41206,62496.96369,72641.31348
1,influent_001.mat,1,150,29.5,0.657614556,2.75,12,MWF,T3,3.51E-07,29.71188229,29.59883378,34.78415034,4.345323351,0.000168111,7.40857298,23.73845351,2.265002731,32.57407272,9.081924755,0.124571643,54.38052697,17230.42524,127.0947414,1,6811.128,3519.12,14.01139419,279.1024743,39.228521,19049.10851,25754.29077,62671.23873,72930.09399
1,influent_001.mat,1,150,30,0.695430535,5.5,9,Wkdy,T5,0.000602058,29.89449951,16.63095125,33.6157726,2.843993216,0.007355755,7.47600095,16.58148128,1.996651039,23.56117501,6.707010904,0.058194771,39.21523859,18524.88802,95.42996376,1,8280.210133,4157.335707,13.72625615,158.9684135,37.88091127,17896.80785,24671.86353,62496.96369,72641.31348
1,influent_001.mat,1,150,30.5,0.695430535,5.5,9,Wkdy,T5,3.51E-07,29.71188229,29.59965601,34.78980729,4.339740017,0.000167856,7.408977066,23.7368579,2.264925369,32.57351404,9.081694953,0.124399521,54.37847663,17230.42524,127.0929301,1,6811.128,3519.12,14.01141948,279.0928037,39.23424872,19050.89867,25757.02859,62671.23873,72930.09399
1,influent_001.mat,1,150,31,0.208148534,3.25,14,Daily,T5,0.00041722,29.89449951,18.16622299,33.90901846,2.46732886,0.005508041,7.497079062,17.02579468,2.054568515,24.34948665,7.079186101,0.053490787,40.52046375,18524.88802,98.62324923,1,8246.434221,4124.861599,13.71496558,162.20764,38.10000868,18210.22012,25056.92223,62496.96369,72641.31348
1,influent_001.mat,1,150,31.5,0.208148534,3.25,14,Daily,T5,3.59E-07,29.71188229,29.68190872,35.27173672,3.86106032,0.000146087,7.443402151,23.63679723,2.260132338,32.54324781,9.070281938,0.109850322,54.25265466,17230.42524,127.0141007,1,6811.128,3519.12,14.01302038,278.5264133,39.72678035,19208.4798,25995.96672,62671.23873,72930.09399
1,influent_001.mat,1,150,32,0.87872341,1,12,Wknd,T4,0.00068765,29.89449951,16.10537703,33.52603269,2.958520412,0.008412263,7.469515491,16.4528571,1.980053739,23.33389605,6.604968828,0.059532317,38.84174996,18524.88802,94.43118458,1,8529.720228,4258.415036,13.72958253,158.1404313,37.79966853,17801.48528,24554.81996,62496.96369,72641.31348
1,influent_001.mat,1,150,32.5,0.87872341,1,12,Wknd,T4,3.49E-07,29.71188229,29.57589036,34.65369203,4.474645212,0.000174109,7.399254101,23.7629784,2.266245432,32.58291085,9.085198272,0.128542839,54.41334516,17230.42524,127.1136484,1,6811.128,3519.12,14.01097866,279.2472966,39.09636687,19006.33295,25689.47433,62671.23873,72930.09399
1,influent_001.mat,1,150,33,0.44205954,4.75,13,Wknd,T345,0.000459448,29.89449951,17.70777623,33.92936017,2.451169394,0.005581741,7.498526777,17.21477801,2.078840103,24.61560107,7.262894095,0.054052874,41.03063859,18524.88802,98.82844189,1,7405.599048,3769.776911,13.7071183,163.7405944,38.39888172,18252.47469,25109.16393,62496.96369,72641.31348
1,influent_001.mat,1,150,33.5,0.44205954,4.75,13,Wknd,T345,3.59E-07,29.71188229,29.69172041,35.33929051,3.79115718,0.000142567,7.448227673,23.58711528,2.258418345,32.54143862,9.068319246,0.107743272,54.20940546,17230.42524,126.9666375,1,6811.128,3519.12,14.01359356,278.2944573,39.79960101,19228.35138,26026.89929,62671.23873,72930.09399
1,influent_001.mat,1,150,34,0.48391001,5.25,11,MWF,T45,0.000523851,29.89449951,17.32973194,33.79371051,2.626840524,0.006514204,7.488770911,16.79276172,2.023726665,23.92951657,6.874877204,0.055460951,39.82377239,18524.88802,96.90057456,1,7834.97706,3959.845352,13.72096861,160.0822868,38.00150131,18057.445,24873.58664,62496.96369,72641.31348
1,influent_001.mat,1,150,34.5,0.48391001,5.25,11,MWF,T45,3.55E-07,29.71188229,29.64606089,35.04762156,4.083819375,0.000156158,7.427393206,23.69483899,2.262766214,32.55835137,9.076482254,0.116603053,54.32155223,17230.42524,127.0669851,1,6811.128,3519.12,14.01214658,278.8487785,39.49609863,19136.20993,25885.9986,62671.23873,72930.09399
1,influent_001.mat,1,150,35,0.615840292,2.5,13,Daily,T34,0.000449255,29.89449951,16.9868936,33.88219555,2.526794724,0.005851751,7.495138589,17.0156428,2.051455089,24.30453293,7.032309379,0.054481274,40.44282184,18524.88802,97.33981459,1,8217.519235,4129.044029,13.71469568,161.5795486,38.16149453,18141.69402,24982.5761,62496.96369,72641.31348
1,influent_001.mat,1,150,35.5,0.615840292,2.5,13,Daily,T34,3.58E-07,29.71188229,29.66940916,35.19392824,3.938319365,0.000149542,7.437844156,23.6552407,2.260989687,32.54843218,9.072334504,0.112186088,54.27512993,17230.42524,127.0304746,1,6811.128,3519.12,14.01273589,278.6301247,39.64664642,19183.26115,25957.64099,62671.23873,72930.09399
